User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
ilovepirates_2,Happiest place on Earth,"This ex #Republican #VoteMarkKelly .
#LetsWinThis !!
#LetsWinThis !! https://t.co/YhwP1ifqiO",422,678,24832,5/3/2012 0:39,10/27/2020 3:29,0,"[{'text': 'Republican', 'indices': [8, 19]}, {'text': 'VoteMarkKelly', 'indices': [20, 34]}, {'text': 'LetsWinThis', 'indices': [37, 49]}, {'text': 'LetsWinThis', 'indices': [53, 65]}]"
vijucherian,Somewhere between here and there.,"Read @Akshobh as he explains how the @GOP, once known as the ‘party of ideas’, has @realDonaldTrump as its candidat… https://t.co/0p0LWA87K4",834,2769,14276,12/14/2009 20:21,10/27/2020 3:27,2,[]
PeachesBennett2,,@RollingStone #Wow The #Republican use of #Gerrymandering has got to be ended.,1012,247,11705,8/1/2019 23:34,10/27/2020 3:27,0,"[{'text': 'Wow', 'indices': [14, 18]}, {'text': 'Republican', 'indices': [23, 34]}, {'text': 'Gerrymandering', 'indices': [42, 57]}]"
news_lnc,"Wichita, KS","@washingtonpost END this AMERICAN NIGHTMARE

NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In… https://t.co/d8vjGpWkRz",124,477,1804,7/26/2018 19:32,10/27/2020 3:27,0,"[{'text': 'Republican', 'indices': [72, 83]}]"
news_lnc,"Wichita, KS","@ReallyAmerican1 End the #Republican POWER Grab

NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us… https://t.co/EjlYtASNiC",124,477,1804,7/26/2018 19:32,10/27/2020 3:25,1,"[{'text': 'Republican', 'indices': [25, 36]}, {'text': 'Republican', 'indices': [76, 87]}]"
brooklynnygirl,Los Angeles,@PamMaccabee @JoeBiden approves #AmyConeyBarrett @JoeBiden is a #Republican,6053,10766,127473,5/29/2009 21:31,10/27/2020 3:20,2,"[{'text': 'AmyConeyBarrett', 'indices': [32, 48]}, {'text': 'Republican', 'indices': [64, 75]}]"
ThaRealMFA,"Orlando, FL",Twitter bias seems pretty real to me - they’re governing likes and retweets. Anyone know whether this is happening… https://t.co/35zYKGpGio,784,174,1267,4/30/2012 19:08,10/27/2020 3:20,0,[]
marylougeorge2,"Toronto,Ontario,Canada",@cheeriogrrrl @alicetweet @PYNance @CWforA The vast majority of Americans did not support rushing this illegitimate… https://t.co/UTaelVzvyk,4694,5297,176122,5/14/2012 0:52,10/27/2020 3:19,0,[]
Patrick00417233,"Cleveland, OH",The #Senate is loaded with #Republican hypocrites for ramming through #Barrett to the Supreme Court. This is the re… https://t.co/pgKdGiWs38,101,4,2739,4/4/2017 15:32,10/27/2020 3:17,0,"[{'text': 'Senate', 'indices': [4, 11]}, {'text': 'Republican', 'indices': [27, 38]}, {'text': 'Barrett', 'indices': [70, 78]}]"
BigHeadTales,"Leftywood, Fascist America",@Susan_Hennessey @Breznican This result was a foregone conclusion. Every single #Republican vowed to install whatev… https://t.co/Phc7taHymH,599,466,80393,2/9/2010 19:47,10/27/2020 3:16,0,"[{'text': 'Republican', 'indices': [80, 91]}]"
theothertim2,,Hey #Republican #VoteTrump2020 #Trump2020 watch this. https://t.co/tlK7mmJl37,50,23,2954,10/29/2016 15:30,10/27/2020 3:14,0,"[{'text': 'Republican', 'indices': [4, 15]}, {'text': 'VoteTrump2020', 'indices': [16, 30]}, {'text': 'Trump2020', 'indices': [31, 41]}]"
thatswhatsup333,Pa,@realDonaldTrump @POTUS Only one #republican Sen. Susan Collins does the right thing and #votes with #Democrats aga… https://t.co/rgrsjFy9h6,4679,4030,37703,10/6/2011 0:24,10/27/2020 3:14,0,"[{'text': 'republican', 'indices': [33, 44]}, {'text': 'votes', 'indices': [89, 95]}, {'text': 'Democrats', 'indices': [101, 111]}]"
marylougeorge2,"Toronto,Ontario,Canada",#Kavanaugh vowed revenge. He should be removed. This is a #Republican coup. https://t.co/lYnTB6PKyk,4694,5297,176122,5/14/2012 0:52,10/27/2020 3:13,0,"[{'text': 'Kavanaugh', 'indices': [0, 10]}, {'text': 'Republican', 'indices': [58, 69]}]"
marylougeorge2,"Toronto,Ontario,Canada",#Kavanaugh vowed revenge and should be removed. This is a #Republican coup https://t.co/wnMtytyEhr,4694,5297,176122,5/14/2012 0:52,10/27/2020 3:13,1,"[{'text': 'Kavanaugh', 'indices': [0, 10]}, {'text': 'Republican', 'indices': [58, 69]}]"
