User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
thejoshuablog,new york city,Via JoshTPM: Don’t Study Court Reform To Death https://t.co/mhy6gsVL9u | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [73, 82]}, {'text': 'trump', 'indices': [83, 89]}, {'text': 'elections', 'indices': [90, 100]}]"
thejoshuablog,new york city,Via JoshTPM: Where Things Stand: Closing Arguments https://t.co/sQwGloVtQh | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [77, 86]}, {'text': 'trump', 'indices': [87, 93]}, {'text': 'elections', 'indices': [94, 104]}]"
thejoshuablog,new york city,Via JoshTPM: Face Off at the Last Chance Corral https://t.co/uBL6nMNU0h | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [74, 83]}, {'text': 'trump', 'indices': [84, 90]}, {'text': 'elections', 'indices': [91, 101]}]"
WendyRhodesFl,"West Palm Beach, FL",Are you a Floridian who struggled to get unemployment? Hear what the governor is (not) doing to ensure it doesn't h… https://t.co/MGzeDvepAo,773,812,3489,8/3/2015 18:32,10/27/2020 18:17,0,[]
thejoshuablog,new york city,Via @HuffPostQueer: Pete Buttigieg Smacks Down Hunter Biden Smear On Fox News https://t.co/fp23zygFSU | #trump #lgbt #politics,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:17,0,"[{'text': 'trump', 'indices': [104, 110]}, {'text': 'lgbt', 'indices': [111, 116]}, {'text': 'politics', 'indices': [117, 126]}]"
thejoshuablog,new york city,Via @HuffPostQueer: Trump Creates Radical Coalition Declaring ‘No International Right’ To Abortion… https://t.co/PFcBCkaVeZ,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:17,0,[]
thejoshuablog,new york city,Via @HuffPostQueer: Is The Sky Blue? Amy Coney Barrett Still Won't Answer Really Obvious Questions.… https://t.co/vxNvpxdeVa,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:17,0,[]
thejoshuablog,new york city,Via @HuffPostQueer: LGBTQ Advocates Shred Tiffany Trump's Speech At 'Trump Pride' Event https://t.co/i1flIekj8u | #trump #lgbt #politics,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:17,0,"[{'text': 'trump', 'indices': [114, 120]}, {'text': 'lgbt', 'indices': [121, 126]}, {'text': 'politics', 'indices': [127, 136]}]"
AllBrPolitics,Brazil,"Plebiscite proposal in Brazil is a topsy-turvy version of Chile’s debate

#politics #economy 
https://t.co/uILMRkq0RN",104,185,6527,7/28/2018 18:17,10/27/2020 18:16,0,"[{'text': 'politics', 'indices': [74, 83]}, {'text': 'economy', 'indices': [84, 92]}]"
thejoshuablog,new york city,Via @MotherJones: Can a Democracy on the Brink of Authoritarianism Recover? https://t.co/xLIM7VSlpy | #politics #trump #election2020,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,"[{'text': 'politics', 'indices': [102, 111]}, {'text': 'trump', 'indices': [112, 118]}, {'text': 'election2020', 'indices': [119, 132]}]"
thejoshuablog,new york city,Via @MotherJones: An Explosive Government Report Exposed Family Separations and Other Immigration Horrors—in 1931… https://t.co/q0vAaG81OH,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @MotherJones: Pope Francis Endorsing Civil Unions Was a Huge Deal. These LGBTQ Catholics Know Exactly Why.… https://t.co/vOBRR1NPkC,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
